episode,score,mean_20,mean_100,epsilon,loss
1,0,0.0,0.0,0.01,49.12117576599121
2,0,0.0,0.0,0.01,49.12117576599121
3,0,0.0,0.0,0.01,49.12117576599121
4,0,0.0,0.0,0.01,49.12117576599121
5,0,0.0,0.0,0.01,49.12117576599121
6,1,0.16666666666666666,0.16666666666666666,0.01,49.12117576599121
7,0,0.14285714285714285,0.14285714285714285,0.01,49.12117576599121
8,0,0.125,0.125,0.01,49.12117576599121
9,0,0.1111111111111111,0.1111111111111111,0.01,49.12117576599121
10,0,0.1,0.1,0.01,49.12117576599121
11,1,0.18181818181818182,0.18181818181818182,0.01,49.12117576599121
12,0,0.16666666666666666,0.16666666666666666,0.01,49.12117576599121
13,1,0.23076923076923078,0.23076923076923078,0.01,49.12117576599121
14,0,0.21428571428571427,0.21428571428571427,0.01,49.12117576599121
15,0,0.2,0.2,0.01,49.12117576599121
16,0,0.1875,0.1875,0.01,49.12117576599121
17,0,0.17647058823529413,0.17647058823529413,0.01,49.12117576599121
18,0,0.16666666666666666,0.16666666666666666,0.01,49.12117576599121
19,0,0.15789473684210525,0.15789473684210525,0.01,49.12117576599121
20,0,0.15,0.15,0.01,49.12117576599121
21,0,0.15,0.14285714285714285,0.01,49.12117576599121
22,0,0.15,0.13636363636363635,0.01,49.12117576599121
23,0,0.15,0.13043478260869565,0.01,49.12117576599121
24,0,0.15,0.125,0.01,49.12117576599121
25,0,0.15,0.12,0.01,49.12117576599121
26,0,0.1,0.11538461538461539,0.01,49.12117576599121
27,0,0.1,0.1111111111111111,0.01,49.12117576599121
28,0,0.1,0.10714285714285714,0.01,49.12117576599121
29,0,0.1,0.10344827586206896,0.01,49.12117576599121
30,0,0.1,0.1,0.01,49.12117576599121
31,0,0.05,0.0967741935483871,0.01,49.12117576599121
32,0,0.05,0.09375,0.01,49.12117576599121
33,0,0.0,0.09090909090909091,0.01,15.868959903717041
34,0,0.0,0.08823529411764706,0.01,31.09402084350586
35,0,0.0,0.08571428571428572,0.01,31.09402084350586
36,0,0.0,0.08333333333333333,0.01,31.09402084350586
37,0,0.0,0.08108108108108109,0.01,31.09402084350586
38,0,0.0,0.07894736842105263,0.01,31.09402084350586
39,0,0.0,0.07692307692307693,0.01,31.09402084350586
40,0,0.0,0.075,0.01,31.09402084350586
41,0,0.0,0.07317073170731707,0.01,31.09402084350586
